TARGET_TAXON,PHYLUM,CLASS,SUBCLASS,ORDER,SUBORDER,FAMILY,SUBFAMILY,GENUS,SPECIES,SUBSPECIES,,,,,,,,,,,,,,,
BRACHIONUS BUDAPESTINENSIS,ROTIFERA,EUROTATORIA,MONOGONONTA,PLOIMA,,BRACHIONIDAE,,BRACHIONUS,BUDAPESTINENSIS,,,,,,,,,,,,,,,,
BRACHIONUS CALYCIFLORUS,ROTIFERA,EUROTATORIA,MONOGONONTA,PLOIMA,,BRACHIONIDAE,,BRACHIONUS,CALYCIFLORUS,,,,,,,,,,,,,,,,
BRACHIONUS CAUDATUS,ROTIFERA,EUROTATORIA,MONOGONONTA,PLOIMA,,BRACHIONIDAE,,BRACHIONUS,CAUDATUS,,,,,,,,,,,,,,,,
BRACHIONUS CAUDATUS PERSONATA,ROTIFERA,EUROTATORIA,MONOGONONTA,PLOIMA,,BRACHIONIDAE,,BRACHIONUS,CAUDATUS,PERSONATA,,,,,,,,,,,,,,,
BRACHIONUS DIMIDIATUS,ROTIFERA,EUROTATORIA,MONOGONONTA,PLOIMA,,BRACHIONIDAE,,BRACHIONUS,DIMIDIATUS,,,,,,,,,,,,,,,,
BRACHIONUS FALCATUS,ROTIFERA,EUROTATORIA,MONOGONONTA,PLOIMA,,BRACHIONIDAE,,BRACHIONUS,FALCATUS,,,,,,,,,,,,,,,,
BRACHIONUS FORFICULA,ROTIFERA,EUROTATORIA,MONOGONONTA,PLOIMA,,BRACHIONIDAE,,BRACHIONUS,FORFICULA,,,,,,,,,,,,,,,,
BRACHIONUS HAVANAENSIS,ROTIFERA,EUROTATORIA,MONOGONONTA,PLOIMA,,BRACHIONIDAE,,BRACHIONUS,HAVANAENSIS,,,,,,,,,,,,,,,,
BRACHIONUS NILSONI,ROTIFERA,EUROTATORIA,MONOGONONTA,PLOIMA,,BRACHIONIDAE,,BRACHIONUS,NILSONI,,,,,,,,,,,,,,,,
BRACHIONUS NOVAE-ZELANDIAE,ROTIFERA,EUROTATORIA,MONOGONONTA,PLOIMA,,BRACHIONIDAE,,BRACHIONUS,NOVAE-ZELANDIAE,,,,,,,,,,,,,,,,
BRACHIONUS PATULUS,ROTIFERA,EUROTATORIA,MONOGONONTA,PLOIMA,,BRACHIONIDAE,,BRACHIONUS,PATULUS,,,,,,,,,,,,,,,,
BRACHIONUS PLICATILIS,ROTIFERA,EUROTATORIA,MONOGONONTA,PLOIMA,,BRACHIONIDAE,,BRACHIONUS,PLICATILIS,,,,,,,,,,,,,,,,
BRACHIONUS QUADRIDENTATUS,ROTIFERA,EUROTATORIA,MONOGONONTA,PLOIMA,,BRACHIONIDAE,,BRACHIONUS,QUADRIDENTATUS,,,,,,,,,,,,,,,,
BRACHIONUS QUADRIDENTATUS BREVISPINUS,ROTIFERA,EUROTATORIA,MONOGONONTA,PLOIMA,,BRACHIONIDAE,,BRACHIONUS,QUADRIDENTATUS,BREVISPINUS,,,,,,,,,,,,,,,
BRACHIONUS QUADRIDENTATUS MELHENI,ROTIFERA,EUROTATORIA,MONOGONONTA,PLOIMA,,BRACHIONIDAE,,BRACHIONUS,QUADRIDENTATUS,MELHENI,,,,,,,,,,,,,,,
BRACHIONUS RUBENS,ROTIFERA,EUROTATORIA,MONOGONONTA,PLOIMA,,BRACHIONIDAE,,BRACHIONUS,RUBENS,,,,,,,,,,,,,,,,
BRACHIONUS SATANICUS,ROTIFERA,EUROTATORIA,MONOGONONTA,PLOIMA,,BRACHIONIDAE,,BRACHIONUS,SATANICUS,,,,,,,,,,,,,,,,
BRACHIONUS URCEOLARIS,ROTIFERA,EUROTATORIA,MONOGONONTA,PLOIMA,,BRACHIONIDAE,,BRACHIONUS,URCEOLARIS,,,,,,,,,,,,,,,,
BRACHIONUS VARIABILIS,ROTIFERA,EUROTATORIA,MONOGONONTA,PLOIMA,,BRACHIONIDAE,,BRACHIONUS,VARIABILIS,,,,,,,,,,,,,,,,
BRACHIONUS ZAHNISERI,ROTIFERA,EUROTATORIA,MONOGONONTA,PLOIMA,,BRACHIONIDAE,,BRACHIONUS,ZAHNISERI,,,,,,,,,,,,,,,,
CALANOIDA,ARTHROPODA,MAXILLOPODA,COPEPODA,CALANOIDA,,,,,,,,,,,,,,,,,,,,,
CAMPTOCERCUS,ARTHROPODA,BRANCHIOPODA,PHYLLOPODA,DIPLOSTRACA,CLADOCERA,CHYDORIDAE,,CAMPTOCERCUS,,,,,,,,,,,,,,,,,
CAMPTOCERCUS OKLAHOMENSIS,ARTHROPODA,BRANCHIOPODA,PHYLLOPODA,DIPLOSTRACA,CLADOCERA,CHYDORIDAE,,CAMPTOCERCUS,OKLAHOMENSIS,,,,,,,,,,,,,,,,
CAMPTOCERCUS RECTIROSTRIS,ARTHROPODA,BRANCHIOPODA,PHYLLOPODA,DIPLOSTRACA,CLADOCERA,CHYDORIDAE,,CAMPTOCERCUS,RECTIROSTRIS,,,,,,,,,,,,,,,,
CEPHALODELLA,ROTIFERA,EUROTATORIA,MONOGONONTA,PLOIMA,,NOTOMMATIDAE,,CEPHALODELLA,,,,,,,,,,,,,,,,,
CEPHALODELLA FORFICULA,ROTIFERA,EUROTATORIA,MONOGONONTA,PLOIMA,,NOTOMMATIDAE,,CEPHALODELLA,FORFICULA,,,,,,,,,,,,,,,,
CEPHALODELLA GIBBA,ROTIFERA,EUROTATORIA,MONOGONONTA,PLOIMA,,NOTOMMATIDAE,,CEPHALODELLA,GIBBA,,,,,,,,,,,,,,,,
CERCOPAGIS PENGOI,ARTHROPODA,BRANCHIOPODA,PHYLLOPODA,DIPLOSTRACA,CLADOCERA,CERCOPAGIDIDAE,,CERCOPAGIS,PENGOI,,,,,,,,,,,,,,,,
CERIODAPHNIA,ARTHROPODA,BRANCHIOPODA,PHYLLOPODA,DIPLOSTRACA,CLADOCERA,DAPHNIIDAE,,CERIODAPHNIA,,,,,,,,,,,,,,,,,
CERIODAPHNIA CORNUTA,ARTHROPODA,BRANCHIOPODA,PHYLLOPODA,DIPLOSTRACA,CLADOCERA,DAPHNIIDAE,,CERIODAPHNIA,CORNUTA,,,,,,,,,,,,,,,,
CERIODAPHNIA DUBIA,ARTHROPODA,BRANCHIOPODA,PHYLLOPODA,DIPLOSTRACA,CLADOCERA,DAPHNIIDAE,,CERIODAPHNIA,DUBIA,,,,,,,,,,,,,,,,
CERIODAPHNIA LACUSTRIS,ARTHROPODA,BRANCHIOPODA,PHYLLOPODA,DIPLOSTRACA,CLADOCERA,DAPHNIIDAE,,CERIODAPHNIA,LACUSTRIS,,,,,,,,,,,,,,,,
CERIODAPHNIA QUADRANGULA,ARTHROPODA,BRANCHIOPODA,PHYLLOPODA,DIPLOSTRACA,CLADOCERA,DAPHNIIDAE,,CERIODAPHNIA,QUADRANGULA,,,,,,,,,,,,,,,,
