TARGET_TAXON,PHYLUM,CLASS,SUBCLASS,ORDER,SUBORDER,FAMILY,SUBFAMILY,GENUS,SPECIES,SUBSPECIES,,,,,,,,,,,,,,,
SIMOCEPHALUS,ARTHROPODA,BRANCHIOPODA,PHYLLOPODA,DIPLOSTRACA,CLADOCERA,DAPHNIIDAE,,SIMOCEPHALUS,,,,,,,,,,,,,,,,,
SIMOCEPHALUS SERRULATUS,ARTHROPODA,BRANCHIOPODA,PHYLLOPODA,DIPLOSTRACA,CLADOCERA,DAPHNIIDAE,,SIMOCEPHALUS,SERRULATUS,,,,,,,,,,,,,,,,
SIMOCEPHALUS VETULUS,ARTHROPODA,BRANCHIOPODA,PHYLLOPODA,DIPLOSTRACA,CLADOCERA,DAPHNIIDAE,,SIMOCEPHALUS,VETULUS,,,,,,,,,,,,,,,,
SINANTHERINA SEMIBULLATA,ROTIFERA,EUROTATORIA,MONOGONONTA,FLOSCULARIACEAE,,FLOSCULARIIDAE,,SINANTHERINA,SEMIBULLATA,,,,,,,,,,,,,,,,
SINOCALANUS DOERRI,ARTHROPODA,MAXILLOPODA,COPEPODA,CALANOIDA,,CENTROPAGIDAE,,SINOCALANUS,DOERRI,,,,,,,,,,,,,,,,
SKISTODIAPTOMUS,ARTHROPODA,MAXILLOPODA,COPEPODA,CALANOIDA,,DIAPTOMIDAE,,SKISTODIAPTOMUS,,,,,,,,,,,,,,,,,
SKISTODIAPTOMUS CAROLINENSIS,ARTHROPODA,MAXILLOPODA,COPEPODA,CALANOIDA,,DIAPTOMIDAE,,SKISTODIAPTOMUS,CAROLINENSIS,,,,,,,,,,,,,,,,
SKISTODIAPTOMUS MISSISSIPPIENSIS,ARTHROPODA,MAXILLOPODA,COPEPODA,CALANOIDA,,DIAPTOMIDAE,,SKISTODIAPTOMUS,MISSISSIPPIENSIS,,,,,,,,,,,,,,,,
SKISTODIAPTOMUS OREGONENSIS,ARTHROPODA,MAXILLOPODA,COPEPODA,CALANOIDA,,DIAPTOMIDAE,,SKISTODIAPTOMUS,OREGONENSIS,,,,,,,,,,,,,,,,
SKISTODIAPTOMUS PALLIDUS,ARTHROPODA,MAXILLOPODA,COPEPODA,CALANOIDA,,DIAPTOMIDAE,,SKISTODIAPTOMUS,PALLIDUS,,,,,,,,,,,,,,,,
SKISTODIAPTOMUS PYGMAEUS,ARTHROPODA,MAXILLOPODA,COPEPODA,CALANOIDA,,DIAPTOMIDAE,,SKISTODIAPTOMUS,PYGMAEUS,,,,,,,,,,,,,,,,
SKISTODIAPTOMUS REIGHARDI,ARTHROPODA,MAXILLOPODA,COPEPODA,CALANOIDA,,DIAPTOMIDAE,,SKISTODIAPTOMUS,REIGHARDI,,,,,,,,,,,,,,,,
SKISTODIAPTOMUS SINUATUS,ARTHROPODA,MAXILLOPODA,COPEPODA,CALANOIDA,,DIAPTOMIDAE,,SKISTODIAPTOMUS,SINUATUS,,,,,,,,,,,,,,,,
SQUATINELLA MUTICA,ROTIFERA,EUROTATORIA,MONOGONONTA,PLOIMA,,LEPADELLIDAE,,SQUATINELLA,MUTICA,,,,,,,,,,,,,,,,
SQUATINELLA ROSTRUM ROSTRUM,ROTIFERA,EUROTATORIA,MONOGONONTA,PLOIMA,,LEPADELLIDAE,,SQUATINELLA,ROSTRUM,ROSTRUM,,,,,,,,,,,,,,,
STREBLOCERUS SERRICAUDATUS,ARTHROPODA,BRANCHIOPODA,PHYLLOPODA,DIPLOSTRACA,CLADOCERA,MACROTHRICIDAE,,STREBLOCERUS,SERRICAUDATUS,,,,,,,,,,,,,,,,
SYNCHAETA,ROTIFERA,EUROTATORIA,MONOGONONTA,PLOIMA,,SYNCHAETIDAE,,SYNCHAETA,,,,,,,,,,,,,,,,,
SYNCHAETA BICORNIS,ROTIFERA,EUROTATORIA,MONOGONONTA,PLOIMA,,SYNCHAETIDAE,,SYNCHAETA,BICORNIS,,,,,,,,,,,,,,,,
SYNCHAETA KITINA,ROTIFERA,EUROTATORIA,MONOGONONTA,PLOIMA,,SYNCHAETIDAE,,SYNCHAETA,KITINA,,,,,,,,,,,,,,,,
SYNCHAETA LAKOWITZIANA,ROTIFERA,EUROTATORIA,MONOGONONTA,PLOIMA,,SYNCHAETIDAE,,SYNCHAETA,LAKOWITZIANA,,,,,,,,,,,,,,,,
SYNCHAETA LONGIPES,ROTIFERA,EUROTATORIA,MONOGONONTA,PLOIMA,,SYNCHAETIDAE,,SYNCHAETA,LONGIPES,,,,,,,,,,,,,,,,
SYNCHAETA OBLONGA,ROTIFERA,EUROTATORIA,MONOGONONTA,PLOIMA,,SYNCHAETIDAE,,SYNCHAETA,OBLONGA,,,,,,,,,,,,,,,,
SYNCHAETA PECTINATA,ROTIFERA,EUROTATORIA,MONOGONONTA,PLOIMA,,SYNCHAETIDAE,,SYNCHAETA,PECTINATA,,,,,,,,,,,,,,,,
SYNCHAETA STYLATA,ROTIFERA,EUROTATORIA,MONOGONONTA,PLOIMA,,SYNCHAETIDAE,,SYNCHAETA,STYLATA,,,,,,,,,,,,,,,,
TESTUDINELLA,ROTIFERA,EUROTATORIA,MONOGONONTA,FLOSCULARIACEAE,,TESTUDINELLIDAE,,TESTUDINELLA,,,,,,,,,,,,,,,,,
TESTUDINELLA MUCRONATA,ROTIFERA,EUROTATORIA,MONOGONONTA,FLOSCULARIACEAE,,TESTUDINELLIDAE,,TESTUDINELLA,MUCRONATA,,,,,,,,,,,,,,,,
TESTUDINELLA PARVA,ROTIFERA,EUROTATORIA,MONOGONONTA,FLOSCULARIACEAE,,TESTUDINELLIDAE,,TESTUDINELLA,PARVA,,,,,,,,,,,,,,,,
TESTUDINELLA PARVA PARVA,ROTIFERA,EUROTATORIA,MONOGONONTA,FLOSCULARIACEAE,,TESTUDINELLIDAE,,TESTUDINELLA,PARVA,PARVA,,,,,,,,,,,,,,,
TESTUDINELLA PATINA,ROTIFERA,EUROTATORIA,MONOGONONTA,FLOSCULARIACEAE,,TESTUDINELLIDAE,,TESTUDINELLA,PATINA,,,,,,,,,,,,,,,,
TESTUDINELLA TRIDENTATA,ROTIFERA,EUROTATORIA,MONOGONONTA,FLOSCULARIACEAE,,TESTUDINELLIDAE,,TESTUDINELLA,TRIDENTATA,,,,,,,,,,,,,,,,
TREMATODA,PLATYHELMINTHES,TREMATODA,,,,,,,,,,,,,,,,,,,,,,,
TRICHOCERCA,ROTIFERA,EUROTATORIA,MONOGONONTA,PLOIMA,,TRICHOCERCIDAE,,TRICHOCERCA,,,,,,,,,,,,,,,,,
TRICHOCERCA BICRISTATA,ROTIFERA,EUROTATORIA,MONOGONONTA,PLOIMA,,TRICHOCERCIDAE,,TRICHOCERCA,BICRISTATA,,,,,,,,,,,,,,,,
TRICHOCERCA CAPUCINA,ROTIFERA,EUROTATORIA,MONOGONONTA,PLOIMA,,TRICHOCERCIDAE,,TRICHOCERCA,CAPUCINA,,,,,,,,,,,,,,,,
TRICHOCERCA COLLARIS,ROTIFERA,EUROTATORIA,MONOGONONTA,PLOIMA,,TRICHOCERCIDAE,,TRICHOCERCA,COLLARIS,,,,,,,,,,,,,,,,
TRICHOCERCA CYLINDRICA,ROTIFERA,EUROTATORIA,MONOGONONTA,PLOIMA,,TRICHOCERCIDAE,,TRICHOCERCA,CYLINDRICA,,,,,,,,,,,,,,,,
TRICHOCERCA DIXON-NUTTALLI,ROTIFERA,EUROTATORIA,MONOGONONTA,PLOIMA,,TRICHOCERCIDAE,,TRICHOCERCA,DIXON-NUTTALLI,,,,,,,,,,,,,,,,
TRICHOCERCA ELONGATA,ROTIFERA,EUROTATORIA,MONOGONONTA,PLOIMA,,TRICHOCERCIDAE,,TRICHOCERCA,ELONGATA,,,,,,,,,,,,,,,,
TRICHOCERCA FLAGELLATA,ROTIFERA,EUROTATORIA,MONOGONONTA,PLOIMA,,TRICHOCERCIDAE,,TRICHOCERCA,FLAGELLATA,,,,,,,,,,,,,,,,
TRICHOCERCA GRACILIS,ROTIFERA,EUROTATORIA,MONOGONONTA,PLOIMA,,TRICHOCERCIDAE,,TRICHOCERCA,GRACILIS,,,,,,,,,,,,,,,,
TRICHOCERCA INERMIS,ROTIFERA,EUROTATORIA,MONOGONONTA,PLOIMA,,TRICHOCERCIDAE,,TRICHOCERCA,INERMIS,,,,,,,,,,,,,,,,
TRICHOCERCA LATA,ROTIFERA,EUROTATORIA,MONOGONONTA,PLOIMA,,TRICHOCERCIDAE,,TRICHOCERCA,LATA,,,,,,,,,,,,,,,,
TRICHOCERCA LONGISETA,ROTIFERA,EUROTATORIA,MONOGONONTA,PLOIMA,,TRICHOCERCIDAE,,TRICHOCERCA,LONGISETA,,,,,,,,,,,,,,,,
TRICHOCERCA MOLLIS,ROTIFERA,EUROTATORIA,MONOGONONTA,PLOIMA,,TRICHOCERCIDAE,,TRICHOCERCA,MOLLIS,,,,,,,,,,,,,,,,
TRICHOCERCA MUCOSA,ROTIFERA,EUROTATORIA,MONOGONONTA,PLOIMA,,TRICHOCERCIDAE,,TRICHOCERCA,MUCOSA,,,,,,,,,,,,,,,,
TRICHOCERCA MULTICRINIS,ROTIFERA,EUROTATORIA,MONOGONONTA,PLOIMA,,TRICHOCERCIDAE,,TRICHOCERCA,MULTICRINIS,,,,,,,,,,,,,,,,
TRICHOCERCA MUSCULUS,ROTIFERA,EUROTATORIA,MONOGONONTA,PLOIMA,,TRICHOCERCIDAE,,TRICHOCERCA,MUSCULUS,,,,,,,,,,,,,,,,
TRICHOCERCA PORCELLUS,ROTIFERA,EUROTATORIA,MONOGONONTA,PLOIMA,,TRICHOCERCIDAE,,TRICHOCERCA,PORCELLUS,,,,,,,,,,,,,,,,
TRICHOCERCA PUSILLA,ROTIFERA,EUROTATORIA,MONOGONONTA,PLOIMA,,TRICHOCERCIDAE,,TRICHOCERCA,PUSILLA,,,,,,,,,,,,,,,,
TRICHOCERCA RATTUS,ROTIFERA,EUROTATORIA,MONOGONONTA,PLOIMA,,TRICHOCERCIDAE,,TRICHOCERCA,RATTUS,,,,,,,,,,,,,,,,
TRICHOCERCA ROSEA,ROTIFERA,EUROTATORIA,MONOGONONTA,PLOIMA,,TRICHOCERCIDAE,,TRICHOCERCA,ROSEA,,,,,,,,,,,,,,,,
TRICHOCERCA ROUSSELETI,ROTIFERA,EUROTATORIA,MONOGONONTA,PLOIMA,,TRICHOCERCIDAE,,TRICHOCERCA,ROUSSELETI,,,,,,,,,,,,,,,,
TRICHOCERCA SIMILIS,ROTIFERA,EUROTATORIA,MONOGONONTA,PLOIMA,,TRICHOCERCIDAE,,TRICHOCERCA,SIMILIS,,,,,,,,,,,,,,,,
TRICHOCERCA STYLATA,ROTIFERA,EUROTATORIA,MONOGONONTA,PLOIMA,,TRICHOCERCIDAE,,TRICHOCERCA,STYLATA,,,,,,,,,,,,,,,,
TRICHOCERCA TENUIOR,ROTIFERA,EUROTATORIA,MONOGONONTA,PLOIMA,,TRICHOCERCIDAE,,TRICHOCERCA,TENUIOR,,,,,,,,,,,,,,,,
TRICHOCERCA TIGRIS,ROTIFERA,EUROTATORIA,MONOGONONTA,PLOIMA,,TRICHOCERCIDAE,,TRICHOCERCA,TIGRIS,,,,,,,,,,,,,,,,
TRICHOCERCA WEBERI,ROTIFERA,EUROTATORIA,MONOGONONTA,PLOIMA,,TRICHOCERCIDAE,,TRICHOCERCA,WEBERI,,,,,,,,,,,,,,,,
TRICHOTRIA,ROTIFERA,EUROTATORIA,MONOGONONTA,PLOIMA,,TRICHOTRIIDAE,,TRICHOTRIA,,,,,,,,,,,,,,,,,
TRICHOTRIA POCILLUM,ROTIFERA,EUROTATORIA,MONOGONONTA,PLOIMA,,TRICHOTRIIDAE,,TRICHOTRIA,POCILLUM,,,,,,,,,,,,,,,,
TRICHOTRIA TETRACTIS,ROTIFERA,EUROTATORIA,MONOGONONTA,PLOIMA,,TRICHOTRIIDAE,,TRICHOTRIA,TETRACTIS,,,,,,,,,,,,,,,,
TRICHOTRIA TETRACTIS SIMILIS,ROTIFERA,EUROTATORIA,MONOGONONTA,PLOIMA,,TRICHOTRIIDAE,,TRICHOTRIA,TETRACTIS,SIMILIS,,,,,,,,,,,,,,,
TROCHOSPHAERA SOLSTITIALIS,ROTIFERA,EUROTATORIA,MONOGONONTA,FLOSCULARIACEAE,,TROCHOSPHAERIDAE,,TROCHOSPHAERA,SOLSTITIALIS,,,,,,,,,,,,,,,,
TROPOCYCLOPS PRASINUS,ARTHROPODA,MAXILLOPODA,COPEPODA,CYCLOPOIDA,,CYCLOPIDAE,,TROPOCYCLOPS,PRASINUS,,,,,,,,,,,,,,,,
TROPOCYCLOPS PRASINUS MEXICANUS,ARTHROPODA,MAXILLOPODA,COPEPODA,CYCLOPOIDA,,CYCLOPIDAE,,TROPOCYCLOPS,PRASINUS,MEXICANUS,,,,,,,,,,,,,,,
UCA,ARTHROPODA,MALACOSTRACA,EUMALACOSTRACA,DECAPODA,PLEOCYEMATA,OCYPODOIDAE,,UCA,,,,,,,,,,,,,,,,,
WLASSICSIA KINISTINENSIS,ARTHROPODA,BRANCHIOPODA,PHYLLOPODA,DIPLOSTRACA,CLADOCERA,MACROTHRICIDAE,,WLASSICSIA,KINISTINENSIS,,,,,,,,,,,,,,,,
WOLGA SPINIFERA,ROTIFERA,EUROTATORIA,MONOGONONTA,PLOIMA,,TRICHOTRIIDAE,,WOLGA,SPINIFERA,,,,,,,,,,,,,,,,
ACARI,ARTHROPODA,ARACHNIDA,ACARI,,,,,,,,,,,,,,,,,,,,,,
BOSMINOPSIS,ARTHROPODA,BRANCHIOPODA,PHYLLOPODA,DIPLOSTRACA,CLADOCERA,BOSMINIDAE,,BOSMINOPSIS,,,,,,,,,,,,,,,,,
BRACHIONUS LEYDIGI,ROTIFERA,EUROTATORIA,MONOGONONTA,PLOIMA,,BRACHIONIDAE,,BRACHIONUS,LEYDIGI,,,,,,,,,,,,,,,,
BRACHIONUS PTERODINOIDES,ROTIFERA,EUROTATORIA,MONOGONONTA,PLOIMA,,BRACHIONIDAE,,BRACHIONUS,PTERODINOIDES,,,,,,,,,,,,,,,,
BRACHIONUS URCEOLARIS COMPLEX,ROTIFERA,EUROTATORIA,MONOGONONTA,PLOIMA,,BRACHIONIDAE,,BRACHIONUS,URCEOLARIS COMPLEX,,,,,,,,,,,,,,,,
BYTHOTREPHES,ARTHROPODA,BRANCHIOPODA,PHYLLOPODA,DIPLOSTRACA,CLADOCERA,CERCOPAGIDIDAE,,,,,,,,,,,,,,,,,,,
CENTROPAGIDAE,ARTHROPODA,MAXILLOPODA,COPEPODA,CALANOIDA,,CENTROPAGIDAE,,,,,,,,,,,,,,,,,,,
CERCOPAGIS,ARTHROPODA,BRANCHIOPODA,PHYLLOPODA,DIPLOSTRACA,CLADOCERA,CERCOPAGIDIDAE,,CERCOPAGIS,,,,,,,,,,,,,,,,,
CHAOBORUS ALBIPES,ARTHROPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,CHAOBORIDAE,CHAOBORINAE,CHAOBORUS,ALBIPES,,,,,,,,,,,,,,,,
CHAOBORUS AMERICANUS,ARTHROPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,CHAOBORIDAE,CHAOBORINAE,CHAOBORUS,AMERICANUS,,,,,,,,,,,,,,,,
CHAOBORUS FLAVICANS,ARTHROPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,CHAOBORIDAE,CHAOBORINAE,CHAOBORUS,FLAVICANS,,,,,,,,,,,,,,,,
CHAOBORUS FLAVICANS/PUNCTIPENNIS,ARTHROPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,CHAOBORIDAE,CHAOBORINAE,CHAOBORUS,FLAVICANS/PUNCTIPENNIS,,,,,,,,,,,,,,,,
CHAOBORUS PUNCTIPENNIS,ARTHROPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,CHAOBORIDAE,CHAOBORINAE,CHAOBORUS,PUNCTIPENNIS,,,,,,,,,,,,,,,,
COLLOTHECIDAE,ROTIFERA,EUROTATORIA,MONOGONONTA,COLLOTHECACEAE,,COLLOTHECIDAE,,,,,,,,,,,,,,,,,,,
CONOCHILIDAE,ROTIFERA,EUROTATORIA,MONOGONONTA,FLOSCULARIACEAE,,CONOCHILIDAE,,,,,,,,,,,,,,,,,,,
CYCLOPIDAE,ARTHROPODA,MAXILLOPODA,COPEPODA,CYCLOPOIDA,,CYCLOPIDAE,,,,,,,,,,,,,,,,,,,
DAPHNIA CATAWBA/PULEX COMPLEX,ARTHROPODA,BRANCHIOPODA,PHYLLOPODA,DIPLOSTRACA,CLADOCERA,DAPHNIIDAE,,DAPHNIA,CATAWBA/PULEX COMPLEX,,,,,,,,,,,,,,,,
DAPHNIA CTENODAPHNIA COMPLEX,ARTHROPODA,BRANCHIOPODA,PHYLLOPODA,DIPLOSTRACA,CLADOCERA,DAPHNIIDAE,,DAPHNIA,CTENODAPHNIA COMPLEX,,,,,,,,,,,,,,,,
DAPHNIA MENDOTAE COMPLEX,ARTHROPODA,BRANCHIOPODA,PHYLLOPODA,DIPLOSTRACA,CLADOCERA,DAPHNIIDAE,,DAPHNIA,MENDOTAE COMPLEX,,,,,,,,,,,,,,,,
EPIPHANIDAE,ROTIFERA,EUROTATORIA,MONOGONONTA,PLOIMA,,EPIPHANIDAE,,,,,,,,,,,,,,,,,,,
EURYCERCUS,ARTHROPODA,BRANCHIOPODA,PHYLLOPODA,DIPLOSTRACA,CLADOCERA,CHYDORIDAE,,EURYCERCUS,,,,,,,,,,,,,,,,,
HOLOPEDIUM AMAZONICUM,ARTHROPODA,BRANCHIOPODA,PHYLLOPODA,DIPLOSTRACA,CLADOCERA,HOLOPEDIIDAE,,HOLOPEDIUM,,,,,,,,,,,,,,,,,
KERATELLA CCEO,ROTIFERA,EUROTATORIA,MONOGONONTA,PLOIMA,,BRACHIONIDAE,,KERATELLA,,,,,,,,,,,,,,,,,
KERATELLA CHUSSA,ROTIFERA,EUROTATORIA,MONOGONONTA,PLOIMA,,BRACHIONIDAE,,KERATELLA,,,,,,,,,,,,,,,,,
KERATELLA IRREGULARIS,ROTIFERA,EUROTATORIA,MONOGONONTA,PLOIMA,,BRACHIONIDAE,,KERATELLA,,,,,,,,,,,,,,,,,
LATONA,ARTHROPODA,BRANCHIOPODA,PHYLLOPODA,DIPLOSTRACA,CLADOCERA,SIDIDAE,,LATONA,,,,,,,,,,,,,,,,,
LECANIDAE,ROTIFERA,EUROTATORIA,MONOGONONTA,PLOIMA,,LECANIDAE,,,,,,,,,,,,,,,,,,,
LEPTODORA,ARTHROPODA,BRANCHIOPODA,PHYLLOPODA,DIPLOSTRACA,CLADOCERA,LEPTODORIDAE,,LEPTODORA,,,,,,,,,,,,,,,,,
LIMNIAS,ROTIFERA,EUROTATORIA,MONOGONONTA,FLOSCULARIACEAE,,FLOSCULARIIDAE,,LIMNIAS,,,,,,,,,,,,,,,,,
MACROTHRICIDAE,ARTHROPODA,BRANCHIOPODA,PHYLLOPODA,DIPLOSTRACA,CLADOCERA,MACROTHRICIDAE,,,,,,,,,,,,,,,,,,,
MONOMMATA,ROTIFERA,EUROTATORIA,MONOGONONTA,PLOIMA,,NOTOMMATIDAE,,MONOMMATA,,,,,,,,,,,,,,,,,
MYSIS RELICTA,ARTHROPODA,MALACOSTRACA,EUMALACOSTRACA,MYSIDA,,MYSIDAE,,MYSIS,RELICTA,,,,,,,,,,,,,,,,
PLATYIAS,ROTIFERA,EUROTATORIA,MONOGONONTA,PLOIMA,,BRACHIONIDAE,,PLATYIAS,,,,,,,,,,,,,,,,,
POLYPHEMUS,ARTHROPODA,BRANCHIOPODA,PHYLLOPODA,DIPLOSTRACA,CLADOCERA,POLYPHEMIDAE,,POLYPHEMUS,,,,,,,,,,,,,,,,,
POMPHOLYX,ROTIFERA,EUROTATORIA,MONOGONONTA,FLOSCULARIACEAE,,TESTUDINELLIDAE,,POMPHOLYX,,,,,,,,,,,,,,,,,
PROSTIGMATA,ARTHROPODA,ARACHNIDA,ACARI,TROMBIDIFORMES,PROSTIGMATA,,,,,,,,,,,,,,,,,,,,
RESTICULA,ROTIFERA,EUROTATORIA,MONOGONONTA,PLOIMA,,NOTOMMATIDAE,,RESTICULA,,,,,,,,,,,,,,,,,
SCAPHOLEBERIS,ARTHROPODA,BRANCHIOPODA,PHYLLOPODA,DIPLOSTRACA,CLADOCERA,DAPHNIIDAE,,SCAPHOLEBERIS,,,,,,,,,,,,,,,,,
SIDA,ARTHROPODA,BRANCHIOPODA,PHYLLOPODA,DIPLOSTRACA,CLADOCERA,SIDIDAE,,SIDA,,,,,,,,,,,,,,,,,
SINANTHERINA,ROTIFERA,EUROTATORIA,MONOGONONTA,FLOSCULARIACEAE,,FLOSCULARIIDAE,,SINANTHERINA,,,,,,,,,,,,,,,,,
TEMORIDAE,ARTHROPODA,MAXILLOPODA,COPEPODA,CALANOIDA,,TEMORIDAE,,,,,,,,,,,,,,,,,,,
TYLOTROCHA,ROTIFERA,EUROTATORIA,MONOGONONTA,PLOIMA,,NOTOMMATIDAE,,TYLOTROCHA,,,,,,,,,,,,,,,,,
WIERZEJSKIELLA,ROTIFERA,EUROTATORIA,MONOGONONTA,PLOIMA,,DICRANOPHORIDAE,,WIERZEJSKIELLA,,,,,,,,,,,,,,,,,
WOLGA,ROTIFERA,EUROTATORIA,MONOGONONTA,PLOIMA,,TRICHOTRIIDAE,,WOLGA,,,,,,,,,,,,,,,,,
ARTEMIA,ARTHROPODA,BRANCHIOPODA,,ANOSTRACA,,ARTEMIIDAE,,ARTEMIA,,,,,,,,,,,,,,,,,
CERATOPOGONIDAE,ARTHROPODA,INSECTA,,DIPTERA,,CERATOPOGONIDAE,,,,,,,,,,,,,,,,,,,
CHIRONOMIDAE,ARTHROPODA,INSECTA,,DIPTERA,,CHIRONOMIDAE,,,,,,,,,,,,,,,,,,,
GAMMARIDAE,ARTHROPODA,MALACOSTRACA,,AMPHIPODA,,GAMMARIDAE,,,,,,,,,,,,,,,,,,,
HYGROBATES,ARTHROPODA,ARACHNIDA,,TROMBIDIFORMES,,HYGROBATIDAE,,HYGROBATES,,,,,,,,,,,,,,,,,
UNIONICOLA,ARTHROPODA,ARACHNIDA,,TROMBIDIFORMES,,UNIONICOLIDAE,,UNIONICOLA,,,,,,,,,,,,,,,,,
BRACHIONUS DIVERSICORNIS,ROTIFERA,EUROTATORIA,MONOGONONTA,PLOIMA,,BRACHIONIDAE,,BRACHIONUS,DIVERSICORNIS,,,,,,,,,,,,,,,,
LECANE ELASMA,ROTIFERA,EUROTATORIA,MONOGONONTA,PLOIMA,,LECANIDAE,,LECANE,ELASMA,,,,,,,,,,,,,,,,
LECANE NANA,ROTIFERA,EUROTATORIA,MONOGONONTA,PLOIMA,,LECANIDAE,,LECANE,NANA,,,,,,,,,,,,,,,,
LECANE SOLA,ROTIFERA,EUROTATORIA,MONOGONONTA,PLOIMA,,LECANIDAE,,LECANE,SOLA,,,,,,,,,,,,,,,,
LECANE STOKESI,ROTIFERA,EUROTATORIA,MONOGONONTA,PLOIMA,,LECANIDAE,,LECANE,STOKESI,,,,,,,,,,,,,,,,
MACROCHAETUS MULTISPINOSUS,ROTIFERA,EUROTATORIA,MONOGONONTA,PLOIMA,,TRICHOTRIIDAE,,MACROCHAETUS,MULTISPINOSUS,,,,,,,,,,,,,,,,
MICROCYCLOPS,ARTHROPODA,MAXILLOPODA,COPEPODA,CYCLOPOIDA,,CYCLOPIDAE,,MICROCYCLOPS,,,,,,,,,,,,,,,,,
TRICHOCERCA LOPHOESSA,ROTIFERA,EUROTATORIA,MONOGONONTA,PLOIMA,,TRICHOCERCIDAE,,TRICHOCERCA,LOPHOESSA,,,,,,,,,,,,,,,,
TRICHOCERCA PLATESSA,ROTIFERA,EUROTATORIA,MONOGONONTA,PLOIMA,,TRICHOCERCIDAE,,TRICHOCERCA,PLATESSA,,,,,,,,,,,,,,,,
ALONA INTERMEDIA,ARTHROPODA,BRANCHIOPODA,PHYLLOPODA,DIPLOSTRACA,CLADOCERA,CHYDORIDAE,,ALONA,INTERMEDIA,,,,,,,,,,,,,,,,
ALONELLA DENTIFERA,ARTHROPODA,BRANCHIOPODA,PHYLLOPODA,DIPLOSTRACA,CLADOCERA,CHYDORIDAE,,ALONA,DENTIFERA,,,,,,,,,,,,,,,,
ALONELLA NANA,ARTHROPODA,BRANCHIOPODA,PHYLLOPODA,DIPLOSTRACA,CLADOCERA,CHYDORIDAE,,ALONELLA,NANA,,,,,,,,,,,,,,,,
ANCHISTROPUS MINOR,ARTHROPODA,BRANCHIOPODA,PHYLLOPODA,DIPLOSTRACA,CLADOCERA,CHYDORIDAE,,ANCHISTROPUS,MINOR,,,,,,,,,,,,,,,,
ARCTODIAPTOMUS,ARTHROPODA,MAXILLOPODA,COPEPODA,CALANOIDA,,DIAPTOMIDAE,,ARCTODIAPTOMUS,,,,,,,,,,,,,,,,,
CERIODAPHNIA RIGAUDI,ARTHROPODA,BRANCHIOPODA,PHYLLOPODA,DIPLOSTRACA,CLADOCERA,DAPHNIIDAE,,CERIODAPHNIA,RIGAUDI,,,,,,,,,,,,,,,,
CHYDORUS OVALIS,ARTHROPODA,BRANCHIOPODA,PHYLLOPODA,DIPLOSTRACA,CLADOCERA,CHYDORIDAE,,CHYDORUS,OVALIS,,,,,,,,,,,,,,,,
DISPARALONA ACUTIROSTRIS,ARTHROPODA,BRANCHIOPODA,PHYLLOPODA,DIPLOSTRACA,CLADOCERA,CHYDORIDAE,,DISPARALONA,ACUTIROSTRIS,,,,,,,,,,,,,,,,
DISPARALONA DADAYI,ARTHROPODA,BRANCHIOPODA,PHYLLOPODA,DIPLOSTRACA,CLADOCERA,CHYDORIDAE,,DISPARALONA,DADAYI,,,,,,,,,,,,,,,,
ERGASILUS CELESTIS,ARTHROPODA,MAXILLOPODA,COPEPODA,POECILOSTOMATOIDA,,ERGASILIDAE,,ERGASILUS,CELESTIS,,,,,,,,,,,,,,,,
EUCYCLOPS CONROWAE,ARTHROPODA,MAXILLOPODA,COPEPODA,CYCLOPOIDA,,CYCLOPIDAE,,EUCYCLOPS,CONROWAE,,,,,,,,,,,,,,,,
HESPERODIAPTOMUS SHOSHONE,ARTHROPODA,MAXILLOPODA,COPEPODA,CALANOIDA,,DIAPTOMIDAE,,HESPERODIAPTOMUS,SHOSHONE,,,,,,,,,,,,,,,,
LEYDIGIA ACANTHOCERCOIDES,ARTHROPODA,BRANCHIOPODA,PHYLLOPODA,DIPLOSTRACA,CLADOCERA,CHYDORIDAE,,LEYDIGIA,ACANTHOCERCOIDES,,,,,,,,,,,,,,,,
LEYDIGIA LEYDIGI,ARTHROPODA,BRANCHIOPODA,PHYLLOPODA,DIPLOSTRACA,CLADOCERA,CHYDORIDAE,,LEYDIGIA,LEYDIGI,,,,,,,,,,,,,,,,
MICROCYCLOPS DUBITABILIS,ARTHROPODA,MAXILLOPODA,COPEPODA,CYCLOPOIDA,,CYCLOPIDAE,,MICROCYCLOPS,DUBITABILIS,,,,,,,,,,,,,,,,
MONOSPILUS DISPAR,ARTHROPODA,BRANCHIOPODA,PHYLLOPODA,DIPLOSTRACA,CLADOCERA,CHYDORIDAE,,MONOSPILUS,DISPAR,,,,,,,,,,,,,,,,
OITHONA,ARTHROPODA,MAXILLOPODA,COPEPODA,CYCLOPOIDA,,OITHONIDAE,,OITHONIA,,,,,,,,,,,,,,,,,
PARALONA PIGRA,ARTHROPODA,BRANCHIOPODA,PHYLLOPODA,DIPLOSTRACA,CLADOCERA,CHYDORIDAE,,PARALONA,PIGRA,,,,,,,,,,,,,,,,
